Elapsed time,HTTP HWC2
22:43:51.0,663.0
22:43:51.500,659.0
22:43:52.0,657.5
22:43:52.500,654.75
22:43:53.0,654.6666666666666
22:43:53.500,654.75
22:43:54.0,654.75
22:43:54.500,656.0
22:43:55.0,656.25
22:43:55.500,655.5
22:43:56.0,655.6666666666666
22:43:56.500,655.0
22:43:57.0,656.25
22:43:57.500,655.5
22:43:58.0,656.0
22:43:58.500,656.5
22:43:59.0,656.75
22:43:59.500,659.25
22:44:00.0,663.25
22:44:00.500,667.0
22:44:01.0,671.0
22:44:01.500,672.75
22:44:02.0,673.3333333333334
22:44:02.500,674.0
22:44:03.0,673.0
22:44:03.500,673.5
22:44:04.0,672.6666666666666
22:44:04.500,673.75
22:44:05.0,672.5
22:44:05.500,673.25
22:44:06.0,672.0
22:44:06.500,672.0
22:44:07.0,672.3333333333334
22:44:07.500,674.2
22:44:08.0,672.0
22:44:08.500,672.0
22:44:09.0,671.6666666666666
22:44:09.500,672.0
22:44:10.0,671.5
22:44:10.500,671.5
22:44:11.0,672.6666666666666
22:44:11.500,671.5
22:44:12.0,673.25
22:44:12.500,671.5
22:44:13.0,672.3333333333334
22:44:13.500,674.0
22:44:14.0,670.75
22:44:14.500,673.25
22:44:15.0,671.6666666666666
22:44:15.500,671.25
22:44:16.0,672.0
22:44:16.500,673.5
22:44:17.0,671.6666666666666
22:44:17.500,671.0
22:44:18.0,671.0
22:44:18.500,672.0
22:44:19.0,671.3333333333334
22:44:19.500,671.25
22:44:20.0,672.6666666666666
22:44:20.500,670.75
22:44:21.0,671.0
22:44:21.500,671.25
22:44:22.0,671.0
22:44:22.500,671.0
22:44:23.0,671.25
22:44:23.500,671.3333333333334
22:44:24.0,671.5
22:44:24.500,671.5
22:44:25.0,672.5
22:44:25.500,671.6666666666666
22:44:26.0,671.0
22:44:26.500,672.3333333333334
22:44:27.0,673.6
22:44:27.500,671.0
22:44:28.0,672.0
22:44:28.500,671.6666666666666
22:44:29.0,671.25
22:44:29.500,671.5
22:44:30.0,671.5
22:44:30.500,671.6666666666666
22:44:31.0,671.5
22:44:31.500,671.75
22:44:32.0,671.75
22:44:32.500,671.3333333333334
22:44:33.0,671.5
22:44:33.500,671.0
22:44:34.0,671.0
22:44:34.500,670.6666666666666
22:44:35.0,672.5
22:44:35.500,671.5
22:44:36.0,671.0
22:44:36.500,671.3333333333334
22:44:37.0,671.5
22:44:37.500,671.25
22:44:38.0,671.5
22:44:38.500,671.6666666666666
22:44:39.0,672.5
22:44:39.500,670.6666666666666
22:44:40.0,671.2
22:44:40.500,671.0
22:44:41.0,671.25
22:44:41.500,685.3333333333334
22:44:42.0,671.5
22:44:42.500,671.75
22:44:43.0,671.5
22:44:43.500,671.3333333333334
22:44:44.0,671.75
22:44:44.500,671.75
22:44:45.0,671.3333333333334
22:44:45.500,671.5
22:44:46.0,671.75
22:44:46.500,671.3333333333334
22:44:47.0,671.0
22:44:47.500,671.75
22:44:48.0,671.3333333333334
22:44:48.500,670.5
22:44:49.0,671.0
22:44:49.500,671.25
22:44:50.0,672.3333333333334
22:44:50.500,671.25
22:44:51.0,688.5
22:44:51.500,674.0
22:44:52.0,674.0
22:44:52.500,673.25
22:44:53.0,671.25
22:44:53.500,671.25
22:44:54.0,671.3333333333334
22:44:54.500,671.25
22:44:55.0,671.3333333333334
22:44:55.500,840.25
